OG,1,N0tail,1993/10/8
OG,2,Ana,1999/10/26
OG,3,S4,1992/4/1
OG,4,JerAx,1992/5/7
OG,5,Fly,1993/3/9
Virtus.pro/Virtus.pro,1,RAMZES666,1999/4/25
Virtus.pro/Virtus.pro,2,Noone,1998/9/4
Virtus.pro/Virtus.pro,3,9pasha,1992/6/30
Virtus.pro/Virtus.pro,4,Lil,1995/12/24
Virtus.pro/Virtus.pro,5,Solo,1990/8/7
Evil Geniuses,1,Arteezy,1996/7/1
Evil Geniuses,2,SumaiL,1999/2/13
Evil Geniuses,3,UNiVeRsE,1989/10/11
Evil Geniuses,4,Zai,1997/8/5
Evil Geniuses,5,Cr1t-,1996/7/12
Team Liquid,1,MATUMBAMAN,1995/3/3
Team Liquid,2,Miracle-,1997/6/20
Team Liquid,3,MinD ContRoL,1995/1/20
Team Liquid,4,GH,N/A
Team Liquid,5,KuroKy,1992/10/28
Invictus Gaming/Invictus Gaming,1,BurNIng,1988/4/2
Invictus Gaming/Invictus Gaming,2,Op,N/A
Invictus Gaming/Invictus Gaming,3,Xxs,1999/8/21
Invictus Gaming/Invictus Gaming,4,BoBoKa,1997/1/6
Invictus Gaming/Invictus Gaming,5,Q,1993/4/18
Newbee/Newbee,2,Sccc,1995/8/18
Newbee/Newbee,3,Kpii,N/A
Newbee/Newbee,4,Kaka,1992/11/7
Newbee/Newbee,5,Faith,1992/2/6
Team Secret,1,MP,N/A
Team Secret,3,KheZu,1995/4/27
Team Secret,4,Puppey,1990/3/6
Team Secret,5,YapzOr,N/A
Planet Dog,1,Swiftending,1993/7/1
Planet Dog,2,Keyser,N/A
Planet Dog,3,33,N/A
Planet Dog,4,J4,1993/5/12
Planet Dog,5,MiLAN,N/A
Team Empire,1,Chappie,1997/4/2
Team Empire,2,Fn,N/A
Team Empire,3,Ghostik,1994/8/24
Team Empire,4,RodjER,1993/12/14
Team Empire,5,Miposhka,1997/11/30
IG Vitality,1,Paparazi��,1996/6/27
IG Vitality,3,InJuly,1993/1/28
IG Vitality,4,Super (Su Peng),1989/10/19
IG Vitality,5,Dogf1ghts,1995/12/5
LGD.Forever Young,1,Monet,1999/9/25
LGD.Forever Young,2,Super,1993/1/4
LGD.Forever Young,3,Inflame,1992/12/22
LGD.Forever Young,4,Ahfu,1994/6/6
LGD Gaming/LGD Gaming,1,Ame,1997/4/7
LGD Gaming/LGD Gaming,2,Maybe,1995/12/16
LGD Gaming/LGD Gaming,3,ELeVeN,1995/12/7
LGD Gaming/LGD Gaming,4,Yao,1990/12/23
LGD Gaming/LGD Gaming,5,Victoria,1995/11/5
TNC Pro Team,1,Raven,1998/9/22
TNC Pro Team,2,Kuku,1996/9/21
TNC Pro Team,3,Sam H,1994/12/12
TNC Pro Team,4,Tims,N/A
TNC Pro Team,5,1437,N/A
Fnatic/Fnatic,1,Ahjit,N/A
Fnatic/Fnatic,2,QO,1993/9/22
Fnatic/Fnatic,3,Ohaiyo,1993/3/31
Fnatic/Fnatic,4,Febby,1993/2/19
Fnatic/Fnatic,5,DJ,1994/11/6
Execration,1,Nando,N/A
Execration,2,CartMaN,N/A
Execration,3,Bimbo,N/A
Execration,4,Kim0,N/A
Execration,5,RR,N/A
Team NP,1,EternaLEnVy,1991/7/2
Team NP,2,FATA-,1993/2/24
Team NP,3,MSS,N/A
Team NP,4,Aui 2000,1992/10/2
Team NP,5,Pieliedie,N/A
Digital Chaos,1,Mason,N/A
Digital Chaos,2,Abed,2000/8/2
Digital Chaos,3,Forev,1991/11/18
Digital Chaos,4,BuLba,1991/7/10
Digital Chaos,5,DuBu,1993/7/12
Infamous,1,Benjaz,1993/9/30
Infamous,2,Timado,2000/9/6
Infamous,3,Kingteka,1997/2/7
Infamous,4,Matthew,N/A
Infamous,5,Accel,1995/10/20
